,Metric,Condition,participant1,participant2,r
0,slipperiness,walking,PPT_002,PPT_012,0.7583695524673
0,slipperiness,walking,PPT_002,PPT_013,0.4625649899535866
0,slipperiness,walking,PPT_002,PPT_014,0.392911611146004
0,slipperiness,walking,PPT_002,PPT_015,0.7759652457599265
0,slipperiness,walking,PPT_002,PPT_016,0.22370370370370368
0,slipperiness,walking,PPT_002,PPT_017,0.7591130520285424
0,slipperiness,walking,PPT_002,PPT_018,0.5463307653778738
0,slipperiness,walking,PPT_002,PPT_019,0.32839149126512635
0,slipperiness,walking,PPT_002,PPT_020,0.32961225791958354
0,slipperiness,walking,PPT_003,PPT_004,-0.1586457521892895
0,slipperiness,walking,PPT_003,PPT_005,0.1869387330889663
0,slipperiness,walking,PPT_003,PPT_006,0.30120422729758184
0,slipperiness,walking,PPT_003,PPT_007,0.08782799298456004
0,slipperiness,walking,PPT_003,PPT_008,0.06950194857816491
0,slipperiness,walking,PPT_003,PPT_009,-0.010560772572652718
0,slipperiness,walking,PPT_003,PPT_010,-0.04453897095377776
0,slipperiness,walking,PPT_003,PPT_011,0.12038492141849175
0,slipperiness,walking,PPT_003,PPT_012,0.3445093021909743
0,slipperiness,walking,PPT_003,PPT_013,0.37450511360820476
0,slipperiness,walking,PPT_003,PPT_014,0.0595490319114046
0,slipperiness,walking,PPT_003,PPT_015,0.4595826874278271
0,slipperiness,walking,PPT_003,PPT_016,0.22907265187138978
0,slipperiness,walking,PPT_003,PPT_017,0.46516344106402474
0,slipperiness,walking,PPT_003,PPT_018,0.22016361224239914
0,slipperiness,walking,PPT_003,PPT_019,0.490261239632559
0,slipperiness,walking,PPT_003,PPT_020,-0.10138356499504401
0,slipperiness,walking,PPT_004,PPT_005,0.6627322516299
0,slipperiness,walking,PPT_004,PPT_006,0.5291945273935067
0,slipperiness,walking,PPT_004,PPT_007,0.6300979257864853
0,slipperiness,walking,PPT_004,PPT_008,0.41198224852071
0,slipperiness,walking,PPT_004,PPT_009,0.864845847465815
0,slipperiness,walking,PPT_004,PPT_010,0.7531413734832169
0,slipperiness,walking,PPT_004,PPT_011,0.7954059698457632
0,slipperiness,walking,PPT_004,PPT_012,0.09212572956874589
0,slipperiness,walking,PPT_004,PPT_013,0.6170377141707025
0,slipperiness,walking,PPT_004,PPT_014,0.6464960494741563
0,slipperiness,walking,PPT_004,PPT_015,0.186805502703758
0,slipperiness,walking,PPT_004,PPT_016,0.7268691850566827
0,slipperiness,walking,PPT_004,PPT_017,0.5230364001322347
0,slipperiness,walking,PPT_004,PPT_018,0.6340747699041073
0,slipperiness,walking,PPT_004,PPT_019,0.46074124635555463
0,slipperiness,walking,PPT_004,PPT_020,0.706863628639835
0,slipperiness,walking,PPT_005,PPT_006,0.5907086071180728
0,slipperiness,walking,PPT_005,PPT_007,0.5258927526369851
0,slipperiness,walking,PPT_005,PPT_008,0.5121783770948224
0,slipperiness,walking,PPT_005,PPT_009,0.7612382317507395
0,slipperiness,walking,PPT_005,PPT_010,0.5368737403020687
0,slipperiness,walking,PPT_005,PPT_011,0.7581435604119687
0,slipperiness,walking,PPT_005,PPT_012,0.28540294183142495
0,slipperiness,walking,PPT_005,PPT_013,0.6858879059526618
0,slipperiness,walking,PPT_005,PPT_014,0.40427098674521356
